code,name_ar,name_en,parent_code,level,account_type,natural_side,is_postable,is_contra,statement_section,subledger_type,required_dimensions,currency_mode,currency_code,is_protected,status,source_ref,caveat_ar,caveat_en
1,الأصول,Assets,,1,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
11,النقدية بالصناديق,Cash on Hand,1,2,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
110,صناديق النقدية,Cash Boxes,11,3,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
1101,النقد بالصندوق,Cash in Hand,110,4,asset,debit,true,false,current_asset,cash_box,,any,,true,drafted,chart-of-accounts.md §2,,
12,النقد لدى البنوك وما في حكمه,Cash at Banks and Equivalents,1,2,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
120,الحسابات البنكية,Bank Accounts,12,3,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
1201,النقد لدى البنوك,Cash at Banks,120,4,asset,debit,true,false,current_asset,bank_account,,any,,true,drafted,chart-of-accounts.md §2,,
1202,متحصلات بطاقات تحت التحصيل,Card Receipts in Clearing,120,4,asset,debit,true,false,current_asset,bank_account,,any,,true,drafted,chart-of-accounts.md §2,إلزام بُعد الفرع أُسقط لعدم وجود سند له في الوثائق — يبقى اختيارياً على السطر,The branch requirement was dropped for lack of support in the documents — it stays optional on the line
1203,النقد لدى البنوك — حساب أمانات الملاك والتأمينات,Cash at Banks — Owner and Deposit Trust Account,120,4,asset,debit,true,false,current_asset,bank_account,,any,,true,proposed,proposed:matrix-seed,⚠️ قرار ق-ع-9 لم يُحسم: هل يُفصل حساب أمانات الملاك كحساب أستاذ مستقل أم كحساب بنكي مستقل تحت 1201؟,⚠️ Decision Q-RE-9 open: separate GL account or merely a separate bank account under 1201?
1204,نقدية بالطريق — تحويلات بين الحسابات,Cash in Transit — Inter-Account Transfers,120,4,asset,debit,true,false,current_asset,none,,any,,true,proposed,proposed:matrix-seed,حساب وسيط للتحويلات التي لا تُقيَّد في اليوم نفسه — يحتاج مراجعة محاسب,Clearing account for transfers not settled same day — needs accountant review
13,الذمم المدينة والأرصدة المدينة الأخرى,Receivables and Other Debit Balances,1,2,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
130,الذمم المدينة التجارية والأرصدة المرتبطة,Trade Receivables and Related Balances,13,3,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
1301,العملاء — ذمم مدينة,Customers — Trade Receivables,130,4,asset,debit,true,false,current_asset,customer,,any,,true,drafted,chart-of-accounts.md §2,,
1302,محتجزات لدى العملاء,Retentions Held by Customers,130,4,asset,debit,true,false,current_asset,customer,project,any,,true,drafted,chart-of-accounts.md §2,⚠️ تصنيفها متداولة أم غير متداولة بند مفتوح رقم 6 في مصفوفة الترحيل,⚠️ Current vs non-current classification is open item 6 in the posting matrix
1303,دفعات مقدمة لمقاولين من الباطن,Advances to Subcontractors,130,4,asset,debit,true,false,current_asset,subcontractor,project,any,,true,drafted,chart-of-accounts.md §2,,
1304,سلف وعهد الموظفين,Employee Advances and Imprests,130,4,asset,debit,true,false,current_asset,employee,,any,,true,drafted,chart-of-accounts.md §2,,
1305,ضريبة القيمة المضافة المستردة,VAT Recoverable from Authority,130,4,asset,debit,true,false,current_asset,none,,company_only,SAR,true,drafted,chart-of-accounts.md §2,,
1306,مصروفات مدفوعة مقدماً,Prepaid Expenses,130,4,asset,debit,true,false,current_asset,none,,any,,false,drafted,chart-of-accounts.md §2,,
1307,أوراق قبض — شيكات بالمحفظة,Notes Receivable — Cheques on Hand,130,4,asset,debit,true,false,current_asset,cheque,,any,,true,renamed,07-real-estate.md §14.0,أُعيدت تسميته من «أوراق قبض (شيكات تحت التحصيل)» للفصل بين ما في خزنة الشركة وما لدى البنك,Renamed from Notes Receivable (cheques under collection) to separate cheques held by the company from cheques at the bank
1308,أوراق قبض — شيكات تحت التحصيل لدى البنك,Notes Receivable — Cheques Under Collection at Bank,130,4,asset,debit,true,false,current_asset,cheque,,any,,true,drafted,07-real-estate.md §14.0,,
1309,مخصص الديون المشكوك في تحصيلها — عملاء,Allowance for Doubtful Debts — Customers,130,4,asset,credit,true,true,current_asset,customer,,any,,true,proposed,proposed:matrix-seed,الدليل الأساسي يحمل مصروف المخصص 5603 بلا حساب مقابل للعملاء — أُضيف قياساً على 1311,The base chart carries provision expense 5603 with no customer-side contra account; added by analogy with 1311
131,ذمم المستأجرين والملاك,Tenant and Owner Receivables,13,3,asset,debit,false,false,,none,,any,,true,drafted,07-real-estate.md §14.0,,
1310,المستأجرون — ذمم مدينة,Tenants — Trade Receivables,131,4,asset,debit,true,false,current_asset,tenant,,any,,true,drafted,07-real-estate.md §14.0,,
1311,مخصص الديون المشكوك في تحصيلها — مستأجرون,Allowance for Doubtful Debts — Tenants,131,4,asset,credit,true,true,current_asset,tenant,,any,,true,drafted,07-real-estate.md §14.0,,
1312,ذمم مدينة — ملاك,Receivables — Property Owners,131,4,asset,debit,true,false,current_asset,property_owner,,any,,true,drafted,07-real-estate.md §14.0,,
1314,إيرادات إيجار مستحقة غير مفوترة,Accrued Unbilled Rental Income,131,4,asset,debit,true,false,current_asset,lease_contract,property,any,,true,drafted,07-real-estate.md §14.0,,
14,المخزون,Inventories,1,2,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
140,المخزون,Inventories,14,3,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
1401,مخزون البضاعة,Merchandise Inventory,140,4,asset,debit,true,false,current_asset,item,warehouse,any,,true,drafted,chart-of-accounts.md §2,,
1402,مخزون بالطريق,Goods in Transit,140,4,asset,debit,true,false,current_asset,item,,any,,true,drafted,chart-of-accounts.md §2,,
1403,أعمال تحت التنفيذ,Work in Progress,140,4,asset,debit,true,false,current_asset,none,project,any,,true,drafted,chart-of-accounts.md §2,⚠️ يتوقف على قرار الاعتراف بالإيراد في المقاولات — بند مفتوح رقم 5,⚠️ Depends on the contracting revenue recognition decision — open item 5
1404,عقارات بغرض البيع — مخزون عقاري,Property Held for Sale — Real Estate Inventory,140,4,asset,debit,true,false,current_asset,property,property,any,,true,drafted,07-real-estate.md §14.0,,
1405,مخزون قطع الغيار والمستلزمات,Spare Parts and Consumables Inventory,140,4,asset,debit,true,false,current_asset,item,warehouse,any,,true,proposed,proposed:matrix-seed,وحدة المخزون بلا وثيقة تحليل — الحساب مقترح,The inventory module has no analysis document — account is proposed
1406,مخصص تقادم وبطء حركة المخزون,Allowance for Slow-Moving and Obsolete Inventory,140,4,asset,credit,true,true,current_asset,none,,any,,true,proposed,proposed:matrix-seed,وحدة المخزون بلا وثيقة تحليل — الحساب مقترح وسياسة المخصص تحتاج قراراً,The inventory module has no analysis document — account and provision policy are proposed
15,الأصول غير المتداولة,Non-Current Assets,1,2,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
150,الأصول الثابتة والعقارات الاستثمارية,Fixed Assets and Investment Property,15,3,asset,debit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
1501,الأصول الثابتة — التكلفة,Fixed Assets — Cost,150,4,asset,debit,true,false,non_current_asset,fixed_asset,,any,,true,drafted,chart-of-accounts.md §2,,
1502,مجمع إهلاك الأصول الثابتة,Accumulated Depreciation — Fixed Assets,150,4,asset,credit,true,true,non_current_asset,fixed_asset,,any,,true,drafted,chart-of-accounts.md §2,,
1503,أعمال رأسمالية تحت التنفيذ,Capital Work in Progress,150,4,asset,debit,true,false,non_current_asset,fixed_asset,,any,,false,drafted,chart-of-accounts.md §2,,
1504,الأصول غير الملموسة,Intangible Assets,150,4,asset,debit,true,false,non_current_asset,fixed_asset,,any,,true,drafted,chart-of-accounts.md §2,,
1505,عقارات استثمارية — التكلفة,Investment Property — Cost,150,4,asset,debit,true,false,non_current_asset,property,property,any,,true,drafted,07-real-estate.md §14.0,⚠️ إن اعتُمد نموذج القيمة العادلة (ق-ع-11) يتغير قياس هذا الحساب ويسقط الإهلاك كلياً,⚠️ If the fair value model is adopted (Q-RE-11) the measurement changes and depreciation disappears entirely
1506,مجمع إهلاك العقارات الاستثمارية,Accumulated Depreciation — Investment Property,150,4,asset,credit,true,true,non_current_asset,property,property,any,,true,drafted,07-real-estate.md §14.0,⚠️ يسقط هذا الحساب إن اعتُمد نموذج القيمة العادلة (ق-ع-11),⚠️ This account disappears if the fair value model is adopted (Q-RE-11)
1507,مجمع إطفاء الأصول غير الملموسة,Accumulated Amortisation — Intangible Assets,150,4,asset,credit,true,true,non_current_asset,fixed_asset,,any,,true,proposed,proposed:matrix-seed,الدليل الأساسي يحمل 1504 بلا مجمع إطفاء مقابل,The base chart carries 1504 with no matching accumulated amortisation account
2,الخصوم,Liabilities,,1,liability,credit,false,false,,none,,any,,true,drafted,chart-of-accounts.md §2,,
