role_code,name_ar,name_en,expected_account_type,expected_side,qualifier_meaning_ar,qualifier_meaning_en,status,note_ar,note_en
settlement_account,حساب التسوية النقدية,Settlement Account,asset,debit,طريقة التسوية: cash · bank · card_clearing · trust_bank · in_transit,Settlement method: cash bank card_clearing trust_bank in_transit,drafted,يُحل من طريقة الدفع على المستند,Resolved from the payment method on the document
ar_customer_control,حساب مراقبة العملاء,Customer Control Account,asset,debit,,,drafted,,
ar_tenant_control,حساب مراقبة المستأجرين,Tenant Control Account,asset,debit,,,drafted,,
ar_owner_control,حساب مراقبة ذمم الملاك المدينة,Owner Receivable Control Account,asset,debit,,,drafted,يُستخدم حين ينفد رصيد أمانات المالك,Used when the owner trust balance is exhausted
ap_supplier_control,حساب مراقبة الموردين,Supplier Control Account,liability,credit,,,drafted,,
ap_subcontractor_control,حساب مراقبة المقاولين من الباطن,Subcontractor Control Account,liability,credit,,,drafted,,
vat_output,ضريبة القيمة المضافة — مخرجات,VAT Output,liability,credit,,,drafted,,
vat_input,ضريبة القيمة المضافة — مدخلات,VAT Input,liability,debit,,,drafted,,
vat_payable_authority,ضريبة القيمة المضافة المستحقة للهيئة,VAT Payable to Authority,liability,credit,,,drafted,,
vat_receivable_authority,ضريبة القيمة المضافة المستردة من الهيئة,VAT Recoverable from Authority,asset,debit,,,drafted,,
vat_collected_for_owner,ضريبة محصَّلة نيابة عن المالك,VAT Collected for Owner,liability,credit,,,drafted,لا يدخل الإقرار الضريبي للشركة,Does not enter the company VAT return
sales_revenue,إيراد المبيعات,Sales Revenue,revenue,credit,مجموعة الصنف أو الخدمة,Item or service group,drafted,,
sales_returns,مردودات المبيعات,Sales Returns,revenue,debit,,,drafted,حساب مقابل للإيراد,Contra revenue account
cogs,تكلفة البضاعة المباعة,Cost of Goods Sold,expense,debit,مجموعة الصنف,Item group,drafted,,
inventory_control,حساب مراقبة المخزون,Inventory Control,asset,debit,مجموعة الصنف أو صنف المستودع,Item group or warehouse class,drafted,,
goods_received_not_invoiced,بضاعة مستلمة لم تُفوتر,Goods Received Not Invoiced,liability,credit,,,drafted,,
goods_in_transit,مخزون بالطريق,Goods in Transit,asset,debit,,,drafted,,
customer_advance,دفعات مقدمة من العملاء,Customer Advances,liability,credit,,,drafted,,
retention_receivable,محتجزات لدى العملاء,Retentions Receivable,asset,debit,,,drafted,,
