tenant_id,role_code,qualifier,account_code,status,note_ar,note_en
__default__,settlement_account,*,1201,drafted,,
__default__,settlement_account,cash,1101,drafted,,
__default__,settlement_account,bank,1201,drafted,,
__default__,settlement_account,card_clearing,1202,drafted,,
__default__,settlement_account,trust_bank,1203,proposed,⚠️ يتوقف على ق-ع-9,⚠️ Depends on Q-RE-9
__default__,settlement_account,in_transit,1204,proposed,,
__default__,ar_customer_control,*,1301,drafted,,
__default__,ar_tenant_control,*,1310,drafted,,
__default__,ar_owner_control,*,1312,drafted,,
__default__,ap_supplier_control,*,2101,drafted,,
__default__,ap_subcontractor_control,*,2102,drafted,,
__default__,vat_output,*,2131,drafted,,
__default__,vat_input,*,2121,drafted,,
__default__,vat_payable_authority,*,2132,drafted,,
__default__,vat_receivable_authority,*,1305,drafted,,
__default__,vat_collected_for_owner,*,2193,drafted,,
__default__,sales_revenue,*,4101,drafted,,
__default__,sales_returns,*,4102,drafted,,
__default__,cogs,*,5101,drafted,,
__default__,inventory_control,*,1401,drafted,,
__default__,inventory_control,spare_parts,1405,proposed,,
__default__,goods_received_not_invoiced,*,2151,drafted,,
__default__,goods_in_transit,*,1402,drafted,,
__default__,customer_advance,*,2141,drafted,,
__default__,retention_receivable,*,1302,drafted,,
__default__,retention_payable,*,2161,drafted,,
__default__,subcontractor_advance,*,1303,drafted,,
__default__,contract_revenue,*,4201,drafted,,
__default__,project_material_cost,*,5201,drafted,,
__default__,subcontractor_cost,*,5202,drafted,,
__default__,work_in_progress,*,1403,drafted,,
__default__,notes_receivable_on_hand,*,1307,drafted,,
__default__,notes_receivable_under_collection,*,1308,drafted,,
__default__,notes_payable,*,2205,drafted,,
__default__,deferred_rental_income,*,2171,drafted,,
__default__,accrued_unbilled_rental_income,*,1314,drafted,,
__default__,rental_revenue,*,4301,drafted,,
__default__,property_management_commission_revenue,*,4302,drafted,,
__default__,late_payment_penalty_revenue,*,4303,drafted,,
__default__,deposit_forfeiture_revenue,*,4304,drafted,,
__default__,utilities_recharge_revenue,*,4305,drafted,,
__default__,leasing_commission_revenue,*,4306,drafted,,
__default__,tenant_deposit_refundable,*,2181,drafted,,
__default__,tenant_deposit_held_for_owner,*,2182,drafted,,
__default__,owner_trust_payable,*,2191,drafted,,
__default__,unallocated_tenant_collections,*,2192,drafted,,
__default__,property_operating_cost,*,5210,drafted,,
__default__,property_common_utilities,*,5211,drafted,,
__default__,property_fees_and_licences,*,5212,drafted,,
__default__,leasing_commission_expense,*,5213,drafted,,
__default__,investment_property_cost,*,1505,drafted,,
__default__,investment_property_accumulated_depreciation,*,1506,drafted,,
__default__,investment_property_depreciation_expense,*,5214,drafted,,
__default__,real_estate_inventory,*,1404,drafted,,
__default__,doubtful_debt_allowance_customers,*,1309,proposed,,
__default__,doubtful_debt_allowance_tenants,*,1311,drafted,,
__default__,doubtful_debt_expense,*,5603,drafted,,
__default__,fixed_asset_cost,*,1501,drafted,,
__default__,accumulated_depreciation,*,1502,drafted,,
__default__,depreciation_expense,*,5601,drafted,,
__default__,asset_disposal_gain,*,4401,drafted,,
__default__,asset_disposal_loss,*,5602,drafted,,
__default__,salaries_expense,*,5501,drafted,,
__default__,employer_social_insurance_expense,*,5502,drafted,,
__default__,salaries_payable,*,2201,drafted,,
__default__,social_insurance_payable,*,2202,drafted,,
__default__,payroll_deductions_payable,*,2203,drafted,,
__default__,employee_advance,*,1304,drafted,,
__default__,eos_provision,*,2204,drafted,,
__default__,eos_expense,*,5503,drafted,,
__default__,operating_expense,*,5901,drafted,,
__default__,operating_expense,rent,5510,drafted,,
__default__,operating_expense,utilities,5511,drafted,,
__default__,operating_expense,repairs,5512,drafted,,
__default__,operating_expense,fuel,5513,drafted,,
__default__,operating_expense,insurance,5514,drafted,,
__default__,operating_expense,gov_fees,5515,drafted,,
__default__,operating_expense,professional_fees,5516,drafted,,
__default__,operating_expense,marketing,5517,drafted,,
__default__,operating_expense,travel,5518,drafted,,
__default__,operating_expense,office,5519,drafted,,
__default__,operating_expense,it,5520,drafted,,
__default__,operating_expense,settlement_discount,5902,proposed,,
__default__,inventory_shortage_expense,*,5301,drafted,,
__default__,cash_over_short,*,5401,drafted,,
__default__,bank_charges,*,5801,drafted,,
__default__,fx_gain,*,4501,drafted,,
__default__,fx_loss,*,5701,drafted,,
__default__,retained_earnings,*,3201,drafted,,
__default__,opening_balance_suspense,*,3901,proposed,,
__default__,other_income,*,4901,drafted,,
__default__,other_expense,*,5901,drafted,,
__default__,inventory_obsolescence_allowance,*,1406,proposed,,
__default__,inventory_obsolescence_expense,*,5302,proposed,,
